locationID,Rating,lakeID,downstreamLakeID,Present
f675bb63-a811-4a0a-b28e-35393f920c9c,3,4105717,3911976,1
c1bba88e-3024-4612-93f8-4994c1cca4f1,3,3913886,3878451,1
39a15f4f-3f14-4c05-aa97-1641b1bb08be,3,3818884,NA,NA
d9ede26d-959f-42dc-8701-0687e3743aeb,3,3818369,3876555,0
dc9b3b16-a806-4499-b09b-f38289e930dc,3,3818211,3910794,0
aa1c6a15-a31f-4f5e-87b4-b7323d35641d,3,3909531,3918087,0
cf77d8dd-6f78-4f9c-b067-01015bc645b2,3,3807091,3909435,1
105863f0-4694-41dc-ab8d-06048054ff54,3,3909801,NA,NA
0bc1b64a-9192-417a-b125-2b39951be5bb,3,4099829,NA,NA
3d4e1d78-fbec-424d-96b8-6ba3d8ee300c,2,3891632,3870298,1
3df5066e-e5ed-4505-9856-410bf34e4a94,3,4099722,3868535,0
21f59f9a-f8d2-4064-aa89-8773686aaadf,3,3889926,4110148,0
c0f92e1d-84be-43cd-9391-9fb7b8f367d3,3,4099658,NA,NA
b1968b4d-60e4-48e7-ab4f-e953dad803b8,3,3889361,3624274,1
34d9c33f-71a6-444a-a301-16cb53edd9e4,3,3885644,NA,NA
ed3180dd-9f35-442f-ad4d-fa923ba29f4f,3,3889327,3889328,0
9418def4-5a29-46c4-b658-d331776cb8d1,3,3889283,3889320,0
dc7e789e-de50-4a8d-88ff-f26d49e18df8,3,3881953,3861262,1
8fede656-b7d2-49ec-9706-fe8f17cbf56e,3,3881885,NA,NA
53c79708-47af-46b9-93af-aa841c69c225,3,3881719,3861140,0
963c999d-c1a2-4104-bd47-7fd5af8656bf,3,3882002,3881716,0
77e10ed4-203a-48ab-99ad-4c50ae252995,3,3916352,3884265,0
1c9ead30-6a88-4999-b4fb-e4a24dad074f,3,3884090,NA,NA
b4cf267d-c85e-40dc-821d-314e9db3525e,3,3550084,3860884,1
f0970fa8-fd0c-4204-a49f-7728398aba80,3,3582840,3884234,0
9aaff0f9-3d8c-49cb-b12c-4f5f4e5a1b10,3,3881187,NA,NA
ef4c5bdc-bafc-4236-bbd5-7f663b395cdc,3,3881186,NA,NA
aec25282-b290-4f3e-baa2-8e6ba0a30a9c,3,3883522,3862658,1
9879523e-cf1f-41bd-b0ca-c68d0c722dc9,3,3883516,3862660,0
bfc28323-d60d-4422-8b06-b2b16735c899,3,3881266,4104444,1
731efa09-c2b9-46d5-8a3e-61850d2f4da2,3,3883569,3862801,0
67ed2ae7-7c42-40f6-bc2c-d4395f09db6f,3,3883574,NA,NA
40565c8f-5dc0-4f16-ad3b-ddd29af10131,3,3548123,NA,NA
2d5d2f50-004c-4520-97ac-9dbbd5bb0557,2,3880989,3860794,1
89a2882d-34c3-42ce-9c03-628bd62799aa,3,4104410,4111877,0
07ccd9d3-d3aa-4ce9-93e4-231db6e0c2a6,3,3546496,4110601,0
9ec2ad7d-b131-427b-9381-a76d9506ae5e,3,3916185,4110601,1
dd257195-14c5-45e1-95c7-0f55f009e82a,3,3880207,NA,NA
3e22fa5a-bfa0-4557-85bb-253de79bfb47,3,3880048,3860465,0
68b339e4-7b18-4e88-8b91-a17077fff470,3,4106222,3860697,1
27f58b96-141d-4f91-9cbb-9951f8e7ecf2,3,3546484,NA,NA
eea08dde-6cba-4d9a-9924-d21c1e4d92fd,3,3880947,NA,NA
9935b879-40f4-4649-9556-e03b4d5d9bfa,3,3545750,3860636,0
60e9e216-9184-45cc-be6a-c04f3fbd3cc5,3,4098613,NA,NA
874b10c4-d3ce-4989-b521-053c7aa55682,3,3879965,4114398,1
938da4b2-7423-43fe-bee8-bbe15bfdee66,3,3879966,4114398,0
d4a35dbf-643e-4950-a7ba-36d93e1bd545,3,4098419,NA,NA
e2deda96-aa63-4af8-bc63-eaff3162d574,3,4106213,NA,NA
cdb10bd2-6bfa-436e-b9ed-7f87e79496f5,3,3879915,3916140,1
41e451ea-350e-4674-b300-dc69ca244fe2,3,3879531,4110539,1
106ed424-7a91-4b30-a005-88ce38bbe8c2,3,4104355,4114494,0
37c79738-c845-4908-a86f-3b0bac55aaa3,3,3544967,3916129,0
53529e67-26e5-4b02-9ff5-9db0de309b3f,3,3906289,2548519,0
7c4e2998-eb92-4ede-9c5f-fceb768ec001,3,3905882,3905894,0
c032ae47-425f-47bd-9e71-70c3c2a1a5fe,3,3905654,3905657,0
c5a4f241-5025-44b6-af67-da8a8558db8e,3,4102973,4117398,1
443cc6b4-878c-4a51-a281-2929861c3354,3,3905844,NA,NA
b80372e3-b4fe-4205-9562-cc83327a9157,3,3779255,NA,NA
4da7966e-733e-4690-8b2d-f1623f0e0d32,3,3905829,3778302,1
c2c5e8af-e65e-4a06-a412-f74cf8ab24af,3,3779240,4115450,1
a070dc1e-a015-4ef7-b357-e0760f8b9c37,3,3905772,NA,NA
11a04632-48c6-4e9b-8f80-6af27d8d0ae8,3,3905692,NA,NA
0b27b82e-3f07-424c-823c-77a2572283cd,3,3905686,NA,NA
3b2a263f-d990-4a61-bea0-e8b3178e2bc9,3,3776826,NA,NA
ddefb994-dfca-40be-aa50-a3cb48c953f4,3,3905752,3905753,1
9cfdd208-1166-47e2-8219-56850c6d497d,3,3905719,NA,NA
bfd0ed5d-eff4-4ad6-b6c9-1aad7135ab62,3,3901231,4113905,1
96c97b34-1d7c-4453-9809-5c9db3c48700,3,3902190,4111613,1
daed7c50-bdf1-4570-b841-1a75ef0d5014,3,3732933,4114784,1
500fe550-c539-48ef-bbd3-156e70bfa926,3,3902264,3902265,1
3f324b22-1845-45a2-9d85-23175be08651,3,3902263,NA,NA
4116174b-6352-4557-8474-5ae2ae558dd3,3,3732613,NA,NA
2cc73a62-37de-4287-8b2a-64c6bde60abb,3,3901995,NA,NA
e953e748-bbb1-49cf-ad1a-83569a4aa545,3,4104968,NA,NA
66773008-d79e-4622-9841-385b2127a7b4,3,3902731,4113036,0
2dae3666-7f38-4f5c-b193-d1371956cfdb,3,3902738,4113036,0
9ef9edee-c406-4f99-abd3-ccd772ad554e,3,4108385,3917600,0
8e0aeb9b-34a0-44cb-8380-db6aa5f38387,3,2548414,NA,NA
6a860cac-8e72-4305-a580-965490a3e0d0,3,3901343,4115047,0
28de86ad-e7a9-436c-ae4b-d71a2e593976,3,4106973,4113077,1
fc7dba6f-aab2-4ea4-b065-8156037415d5,3,3897106,4115880,1
a3d0df1c-3846-427e-866b-a5023a5babc0,3,3893623,NA,NA
02ceda64-ee54-49d6-b6db-ed6140fe904d,3,3894622,3894627,0
3a10fb5b-1afd-42d0-b1e4-d6b3d2c2aaa2,3,3652904,NA,NA
e88a1cdd-765d-4eb1-a5d4-4323dcac5eaf,3,4105006,3870645,1
8caf809d-1476-4de3-a82d-0e359b9467a2,3,3893451,3870967,1
66a146a4-55fc-426f-a678-2d6dbe7c7e83,3,3896027,3896026,1
3c9ee438-a120-4dd3-bc90-259429af9081,3,3656360,4114082,0
4d029591-f3c2-407f-9b35-20ee1b079ee7,3,3656435,4114090,0
